BOM

| Item Description | Vendor | Qty | Unit Price | Total Price | Link |
| :--- | :---: | :---: | :---: | :---: | :--- |
| Raspberry Pi Pico 2WH | Otronic | 1 | €11.95 | €11.95 | [Link](https://otronic.nl) |
| 2 Channel Linear Fader 75mm 10k | Otronic | 3 | €2.30 | €6.90 | [Link](https://otronic.nl) |
| Diode 1N4148 Max 100V 200mA | Otronic | 15 | €0.15 | €2.25 | [Link](https://otronic.nl) |
| 40 Pins Header Female 2.54mm (OT156-B126) | Otronic | 3 | €0.65 | €1.95 | [Link](https://otronic.nl) |
| 3.7V Rechargeable 4000mAh LiPo Battery | Otronic | 1 | €10.95 | €10.95 | [Link](https://otronic.nl) |
| TP4056 Lithium Battery Charging & Protection Circuit | Otronic | 1 | €2.40 | €2.40 | [Link](https://otronic.nl) |
| Shipping Costs (Otronic) | Otronic | 1 | €6.99 | €6.99 | - |
| **Otronic Subtotal** | | | | **€43.39** | |
| | | | | | |
| Gateron KS-3X1 Milky Yellow Red Pro Switch Set | Gateron | 1 | €9.10 | €9.10 | [Link](https://gateron.co) |
| Shipping Costs (Gateron) | Gateron | 1 | €4.90 | €4.90 | - |
| **Gateron Subtotal** | | | | **€14.00** | |
| | | | | | |
| 5x Custom PCBs (120x140mm, 4-Layer, 1.6mm, Black) | JLCPCB | 1 | €43.30 | €43.30 | [Link](https://jlcpcb.com) |
| Shipping Costs (JLCPCB) | JLCPCB | 1 | €24.91 | €24.91 | - |
| Coupon Discount | JLCPCB | 1 | -€10.00 | -€10.00 | - |
| **JLCPCB Subtotal** | | | | **€58.21** | |
| | | | | | |
| **Grand Total** | | | | **€115.60** | |
